,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,23,longtemps,long time
22,24,heures,hours
23,25,vont,will
24,26,pendant,while
25,27,revoir,meet again
26,29,place,square
27,30,parle,speak
28,31,compris,understood
29,32,savais,knew
30,34,attention,Warning
31,35,voici,here is
32,36,pourrais,could
33,37,affaire,case
34,38,donner,give
35,39,type,type
36,40,leurs,their
37,41,donné,given
38,42,train,train
39,43,corps,body
40,44,endroit,place
41,45,yeux,eyes
42,46,façon,way
43,47,écoute,listen
44,48,dont,whose
45,49,trouve,find
46,50,premier,first
47,51,perdu,lost
48,52,main,hand
49,53,première,first
50,54,côté,side
51,55,pouvoir,power
52,57,sois,be
53,58,tiens,here
54,59,matin,morning
55,60,tellement,so much
56,61,enfant,child
57,62,point,point
58,63,venu,came
59,64,suite,after
60,65,pardon,sorry
61,66,venez,come
62,67,devant,in front of
63,68,minutes,minutes
64,69,demandé,request
65,70,chambre,bedroom
66,71,mis,placed
67,72,belle,beautiful
68,73,droit,law
69,74,aimerais,would like to
70,75,aujourd'hui,today
71,76,mari,husband
72,77,cause,cause
73,78,enfin,finally
74,79,espère,hope
75,80,eau,water
76,81,attendez,Wait
77,82,parti,left
78,83,nouvelle,new
79,84,boulot,job
80,85,arrêter,Stop
81,86,dirait,would say
82,87,terre,Earth
83,88,compte,account
84,89,donne,given
85,90,loin,far
86,91,fin,end
87,93,chérie,sweetheart
88,94,gros,large
89,95,plutôt,rather
90,96,aura,will have
91,97,filles,girls
92,98,jouer,to play
93,99,bureau,office
